		2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018	2018		3. Är det styrande partiet eller koalitionen av partier i majoritet?	4. Från vilket parti kommer kommun-/landstings-/regionstyrelsens ordförande?		5. Vad heter kommun-/ landstings-/regionstyrelsens tillträdande ordförande?	Kön KSO		6. Från vilket parti kommer kommun-/landstings-/regionfullmäktiges ordförande?		7. Vad heter KFO?	Kön KFO	Är det något angående er kommuns/landstings/regions styrelse eller fullmäktige som bör kommenteras eller förklaras gör det gärna här.	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	
Arvika kommun	1784					S	V	MP				,,,,S,V,MP,,,	V		Majoritet	S		Peter Söderström	M		S		Lars-Ove Jansson	M						S	V	MP				,,,,S,V,MP,,,	V
Säffle kommun	1785	M	C	L	KD					ÖP	Sjukvårdspartiet i Värmland (SiV)	M,C,L,KD,,,,,ÖP,	B		Majoritet	C		Dag Rogne	M		C		Lisbet Westerberg	K		M	C	L	KD			MP		ÖP	Sjukvårdspartiet i Värmland (SiV)	M,C,L,KD,,,MP,,ÖP,	B
Lekebergs kommun	1814		C			S						,C,,,S,,,,,	BL		Majoritet	C		Wendla Thorstensson	K		S		Mikael Bergdahl	M		M	C	L	KD			MP				M,C,L,KD,,,MP,,,	B
Laxå kommun	1860		C		KD			MP				,C,,KD,,,MP,,,	B		Majoritet	C		Johan Niklasson	M		C		Arne Augustsson	M			C	L	KD			MP				,C,L,KD,,,MP,,,	B
Hallsbergs kommun	1861					S						,,,,S,,,,,	V		Minoritet	S		Magnus Andersson	M		S		Hans Karlsson	M						S		MP				,,,,S,,MP,,,	V
Degerfors kommun	1862					S	V					,,,,S,V,,,,	V	V och S tar över styret efter M,C,L,S	Majoritet	V		Anneli Mylly	K		S		Marianne Högberg	K							V					,,,,,V,,,,	V
Hällefors kommun	1863					S	V					,,,,S,V,,,,	V		Majoritet	S		Annalena Järnberg	K		S		Susanne Grundström	K		M				S				ÖP	Grythyttelistan	M,,,,S,,,,ÖP,	BL
Ljusnarsbergs kommun	1864			L		S	V	MP				,,L,,S,V,MP,,,	BL		Majoritet	S		Ewa-Leena Johansson	K		S		Ken karlsson	M						S	V	MP				,,,,S,V,MP,,,	V
Örebro kommun	1880		C		KD	S					Valteknisk samverkan med (V)	,C,,KD,S,,,,,	BL		Minoritet	S		Kenneth Handberg	M		S		Agneta Blom	K			C		KD	S				ÖP	Valteknisk samverkan med (V)	,C,,KD,S,,,,ÖP,	BL
Kumla kommun	1881	M				S						M,,,,S,,,,,	BL		Majoritet	S		Katarina Hansson	K		M		Åsa Windahl	K		M				S						M,,,,S,,,,,	BL
Askersunds kommun	1882	M		L	KD							M,,L,KD,,,,,,	B		Minoritet	M		Caroline Dieker	K		M		Calill Ohlson	K						S		MP				,,,,S,,MP,,,	V
Karlskoga kommun	1883	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	M		Tony Ring	M		M		Anna Ragén	K				L		S	V					,,L,,S,V,,,,	BL
Nora kommun	1884	M	C	L	KD	S						M,C,L,KD,S,,,,,	BL		Majoritet	M/S	Alternerar	Tom Rymoen (M) och Solveig Oscarsson (S)	M/K		S		Per Andreasson	M	Posterna som ordförande och vice ordförande i kommunstyrelsen kommer att delas mellan Tom Rymoen och Solveig Oscarsson (S) vart annat år. Tom är kso och Solveig vice kso år 1 och sedan byte vart annat år. Båda två är kommunalråd på 100 procent.					S						,,,,S,,,,,	V
Lindesbergs kommun	1885		C			S	V					,C,,,S,V,,,,	BL		Majoritet	S		Bengt Storbacka	M		S		Arnold Bengtsson	M			C			S	V					,C,,,S,V,,,,	BL
Skinnskattebergs kommun	1904					S						,,,,S,,,,,	V		Minoritet	S		Lena Lovén-Rolén	K		S		Aneth Arvidsson	K	Kommunstyrelsen består av 11 ledamöter. Socialdemokraterna har 5 mandat, L+M+C (valsamverkan) har 4 mandat och Sverigedemokraterna har 2 mandat. Kommunfullmäktige består av 31 ledamöter: Moderaterna 2 Centerpartiet 2 Liberalerna 7 Socialdemokraterna 12 Vänsterpartiet 2 Sverigedemokraterna 6	M	C	L								M,C,L,,,,,,,	B
Surahammars kommun	1907	M	C	L	KD				SD			M,C,L,KD,,,,SD,,	Ö	S avbryter samarbetet med C (även V ingick i styret) som en följd av de brister (ledarskap, styrning och beslutsfattande) som avslöjats i en extern granskning (KPMG) av samhällsbyggnadsförvaltningen. M, C, L, KD och SD inleder samarbete.	Majoritet	M		Johanna Olofsson	K		S		Christina Waster Jansson	K			C			S						,C,,,S,,,,,	BL
Kungsörs kommun	1960			L		S	V					,,L,,S,V,,,,	BL		Minoritet	S		Mikael Peterson	M		S		Per Strengbom	M				L		S	V	MP				,,L,,S,V,MP,,,	BL
Hallstahammars kommun	1961		C	L		S						,C,L,,S,,,,,	BL		Majoritet	S		Catarina Pettersson	K		S		Rolf Hahre	M						S	V	MP				,,,,S,V,MP,,,	V
Norbergs kommun	1962					S	V					,,,,S,V,,,,	V		Majoritet	S		Johanna Odö	K		S		Sten Nordström	M	S+V har valteknisk samverkan, inte gemensamt styre.					S	V					,,,,S,V,,,,	V
Västerås stad	1980		C	L		S		MP				,C,L,,S,,MP,,,	BL		Majoritet	S		Staffan Jansson	M		S		Anders Teljebäck	M			C		KD	S		MP				,C,,KD,S,,MP,,,	BL
Sala kommun	1981	M	C	L	KD					ÖP	Salas Bästa	M,C,L,KD,,,,,ÖP,	B		Minoritet	C		Anders Wigelsbo	M		C		Carola Gunnarsson	K		M	C	L	KD					ÖP	Salas Bästa	M,C,L,KD,,,,,ÖP,	B
Fagersta kommun	1982	M		L		S				ÖP	Sjukvårdspartiet - Västmanland	M,,L,,S,,,,ÖP,	BL		Majoritet	S		Marino Wallsten	M		S		Åsa-Märta Sjöström	K		M				S						M,,,,S,,,,,	V
Köpings kommun	1983	M		L		S	V					M,,L,,S,V,,,,	BL		Majoritet	S		Annika Duàn	K		S		Carl-Inge Westberg	M						S	V	MP				,,,,S,V,MP,,,	V
Arboga kommun	1984	M	C	L	KD		V	MP		ÖP	Omsorgspartiet i Arboga	M,C,L,KD,,V,MP,,ÖP,	BL		Majoritet	M		Jonna Lindman	K		M		Mats Öhgren	M		M	C	L	KD		V	MP		ÖP	Omsorgspartiet i Arboga	M,C,L,KD,,V,MP,,ÖP,	BL
Vansbro kommun	2021	M	C		KD					ÖP	Landsbygdspartiet oberoende	M,C,,KD,,,,,ÖP,	B		Majoritet	C		Stina Munters	K		C		Uwe Weigel	M		M	C	L	KD							M,C,L,KD,,,,,,	BL
Malung-Sälens kommun	2023		C	L		S						,C,L,,S,,,,,	BL		Majoritet	S		Hans Unander	M		S		Jörgen Norén	M			C			S	V					,C,,,S,V,,,,	BL
Gagnefs kommun	2026	M	C			S						M,C,,,S,,,,,	BL		Majoritet	C		Fredrik Jarl	M		S		Alf Johansson	M						S	V	MP		ÖP	KOSA	,,,,S,V,MP,,ÖP,	V
Leksands kommun	2029	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	C		Ulrika Liljeberg	K		C		Per-Erik Ingels	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Rättviks kommun	2031	M	C		KD							M,C,,KD,,,,,,	B		Majoritet	C		Jonny Jones	M		C		Anna-Maja Roos	K		M	C	L	KD							M,C,L,KD,,,,,,	B
Orsa kommun	2034		C		KD			MP				,C,,KD,,,MP,,,	B		Majoritet	C		Mikael Thalin	M		C		Anne-Marie Fröjdh	K			C	L	KD			MP				,C,L,KD,,,MP,,,	B
Älvdalens kommun	2039		C	L		S						,C,L,,S,,,,,	BL		Majoritet	C		Kjell Tenn	M		S		Stig Olsson	M						S		MP				,,,,S,,MP,,,	V
Smedjebackens kommun	2061					S	V	MP				,,,,S,V,MP,,,	V		Majoritet	S		Fredrik Rönning	M		S		Carin Runeson	K						S	V	MP				,,,,S,V,MP,,,	V
Mora kommun	2062	M	C		KD					ÖP	Morapartiet	M,C,,KD,,,,,ÖP,	B		Majoritet	C		Anna Hed	K		KD		Lennart Sacrédeus	M		M	C	L	KD					ÖP	Morapartiet	M,C,L,KD,,,,,ÖP,	B
Falu kommun	2080	M	C	L	KD					ÖP	Falupartiet	M,C,L,KD,,,,,ÖP,	B		Minoritet	C		Joakim Storck	M		M		Göran Forsén	M			C			S		MP				,C,,,S,,MP,,,	BL
Borlänge kommun	2081		C	L		S		MP		ÖP	OFA (Omsorg för alla)	,C,L,,S,,MP,,ÖP,	BL		Majoritet	S		Jan Bohman	M		S		Lars Ivarsson	M						S	V	MP		ÖP	OFA (Omsorg för alla)	,,,,S,V,MP,,ÖP,	V
Säters kommun	2082		C			S						,C,,,S,,,,,	BL		Majoritet	S		Mats Nilsson	M		S		Abbe Ronsten	M			C			S						,C,,,S,,,,,	BL
Hedemora kommun	2083		C			S	V					,C,,,S,V,,,,	BL		Minoritet	S		Stefan Norberg	M		S		Berndt Nygårds	M	Gällande fråga 3 "Är det styrande partiet eller koalitionen av partier i majoritet?" så har S+C+V 20 mandat av 41 i kommunfullmäktige. Dock kunde inte SD besätta 2 av 6 mandat, så vårt kommunfullmäktige består av 39 personer istället för 41 stycken under kommande mandatperiod.		C			S	V					,C,,,S,V,,,,	BL
Avesta kommun	2084					S	V					,,,,S,V,,,,	V		Majoritet	S		Lars Isacsson	M		S		Blerta Krenzi	K						S	V	MP				,,,,S,V,MP,,,	V
Ludvika kommun	2085	M		L	KD	S						M,,L,KD,S,,,,,	BL		Majoritet	S		Leif Pettersson	M		S		Maria Strömkvist	K						S	V	MP				,,,,S,V,MP,,,	V
Ockelbo kommun	2101		C			S						,C,,,S,,,,,	BL		Majoritet	S		Magnus Jonsson	M		S		Anna Schönning	K			C			S						,C,,,S,,,,,	BL
Hofors kommun	2104		C	L		S						,C,L,,S,,,,,	BL		Minoritet	S		Linda-Marie Anttila	K		S		Diana Blomgren	K			C	L		S						,C,L,,S,,,,,	BL
Ovanåkers kommun	2121	M		L		S						M,,L,,S,,,,,	BL		Minoritet	S		Håkan Englund	M		S		Yoomi Renström	K		M		L		S						M,,L,,S,,,,,	BL
Nordanstigs kommun	2132		C			S				ÖP	nordanstigspartiet.se	,C,,,S,,,,ÖP,	BL		Majoritet	S		Ola Wigg	M		S		Carin Walldin	K			C			S		MP				,C,,,S,,MP,,,	BL
Ljusdals kommun	2161			L		S		MP				,,L,,S,,MP,,,	BL		Minoritet	S		Marit Holmstrand	K		S		Marit Holmstrand	K		M	C	L	KD							M,C,L,KD,,,,,,	BL
Gävle kommun	2180		C	L		S		MP				,C,L,,S,,MP,,,	BL		Majoritet	S		Åsa Wiklund Lång	K		S		Eva Älander	K		M	C	L	KD							M,C,L,KD,,,,,,	B
Sandvikens kommun	2181		C	L		S						,C,L,,S,,,,,	BL		Majoritet	S		Peter Kärnström	M		S		Monica Jacobsson	K			C			S		MP				,C,,,S,,MP,,,	BL
Söderhamns kommun	2182	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	C		John-Erik Jansson	M		M		Viktor Wärnick	M						S	V	MP				,,,,S,V,MP,,,	V
Bollnäs kommun	2183	M				S		MP		ÖP	Bollnäspartiet	M,,,,S,,MP,,ÖP,	BL		Majoritet	S		Marie Centerwall	K		S		Kristoffer Lindberg	M				L		S	V	MP				,,L,,S,V,MP,,,	BL
Hudiksvalls kommun	2184	M				S		MP				M,,,,S,,MP,,,	BL		Majoritet	S		Mikael Löthstam	M		S		Sven-Åke Thoresen	M						S	V					,,,,S,V,,,,	V
Ånge kommun	2260					S	V					,,,,S,V,,,,	V		Majoritet	S		Sten-Ove Danielsson	M		S		Stiven Wiklund	M						S						,,,,S,,,,,	V
Timrå kommun	2262					S	V					,,,,S,V,,,,	V		Majoritet	S		Stefan Dalin	M		S		Jan-Christer Jonsson	M						S	V					,,,,S,V,,,,	V
Härnösands kommun	2280				KD	S	V	MP				,,,KD,S,V,MP,,,	BL		Majoritet	S		Andreas Sjölander	M		S		Göran Norlander	M						S	V	MP				,,,,S,V,MP,,,	V
Sundsvalls kommun	2281		C			S	V					,C,,,S,V,,,,	BL		Majoritet	S		Peder Björk	M		S		Arianne Sundman	K			C			S	V					,C,,,S,V,,,,	BL
Kramfors kommun	2282					S	V					,,,,S,V,,,,	V		Majoritet	S		Jan Sahlén	M		S		Peter Hedberg	M						S	V					,,,,S,V,,,,	V
Sollefteå kommun	2283		C				V			ÖP	Västra Initiativet	,C,,,,V,,,ÖP,	BL		Majoritet	C		Johan Andersson	M		ÖP	Västra Initiativet	Gunilla Fluur	K						S						,,,,S,,,,,	V
Örnsköldsviks kommun	2284					S						,,,,S,,,,,	V		Minoritet	S		Per Nylén	M		S		Birgith Olsson Johansson	K	Socialdemokraterna styr i minoritet. Vi har en överenskommelse om viss samverkan med C, M och Kd.					S	V					,,,,S,V,,,,	V
Ragunda kommun	2303		C		KD					ÖP	Allt för Ragunda	,C,,KD,,,,,ÖP,	B		Minoritet	C		Mikael Westin	M		ÖP	Allians för Ragunda	Birgitta Orrebo	K						S						,,,,S,,,,,	V
Bräcke kommun	2305	M				S	V					M,,,,S,V,,,,	BL		Minoritet	S		Jörgen Persson	M		S		Yngve Hamberg	M				L		S	V			ÖP	Landsbygdens framtid i Bräcke	,,L,,S,V,,,ÖP,	BL
Krokoms kommun	2309	M	C		KD			MP				M,C,,KD,,,MP,,,	B		Minoritet	C		Karin Jonsson	K		C		Gunnar Hellström	M		M	C		KD			MP				M,C,,KD,,,MP,,,	B
Strömsunds kommun	2313					S	V					,,,,S,V,,,,	V		Majoritet	S		Susanne Hansson	K		S		Elisabeth Lindholm	K						S	V					,,,,S,V,,,,	V
Åre kommun	2321		C		KD					ÖP	VV (Västjämtlands Väl)	,C,,KD,,,,,ÖP,	B		Majoritet	C		Daniel Danielsson	M		C		Peter Jansson	M		M				S		MP				M,,,,S,,MP,,,	BL
Bergs kommun	2326		C			S						,C,,,S,,,,,	BL		Majoritet	S		Therese Kärngard	K		S		Karin Paulsson	K						S		MP				,,,,S,,MP,,,	V
Härjedalens kommun	2361	M	C			S						M,C,,,S,,,,,	BL		Majoritet	C/S	Alternerar	Lars-Gunnar Nordlander och Anders Häggkvist	M		S		Pernilla Heijdenbeck-Persson	K		M	C	L	KD							M,C,L,KD,,,,,,	B
Östersunds kommun	2380	M	C	L	KD							M,C,L,KD,,,,,,	B		Minoritet	C		Bosse Svensson	M		C		Hanna Wagenius	K						S	V	MP				,,,,S,V,MP,,,	V
Nordmalings kommun	2401	M	C		KD							M,C,,KD,,,,,,	B		Majoritet	C		Madelaine Jakobsson	K		C		Ingemar Sandström	M	Centerpartiet har en tydlig majoritet inom det borgerliga blocket.	M	C	L	KD							M,C,L,KD,,,,,,	B
Bjurholms kommun	2403	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	M		Christina Lidström	K		C		Renée Olofsson	K		M	C	L	KD							M,C,L,KD,,,,,,	B
Vindelns kommun	2404				KD	S	V					,,,KD,S,V,,,,	BL		Majoritet	S		Mathias Haglund	M		S		Joakim Olsson	M	Alla i en kommunstyrelse styr väl kommunen men jag har tolkat frågorna som att ni vill veta vilka som ingår i majoriteten.					S	V					,,,,S,V,,,,	V
Robertsfors kommun	2409					S	V					,,,,S,V,,,,	V		Majoritet	S		Patrik Nilsson	M		S		Robert Lindgren	M						S						,,,,S,,,,,	V
Norsjö kommun	2417					S	V					,,,,S,V,,,,	V		Majoritet	S		Mikael Lindfors	M		S		Sam Venngren	M						S						,,,,S,,,,,	V
Malå kommun	2418						V					,,,,,V,,,,	V	S lämnar styret under mandatperioden	Minoritet	V		Lennart Gustavsson	M		S		Joacim Eliasson	M	Kommunalråds posten kommer att delas mellan S och V					S	V					,,,,S,V,,,,	V
Storumans kommun	2421	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	C		Tomas Mörtsell	M		C		Patrik Persson	M		M	C	L	KD							M,C,L,KD,,,,,,	B
Sorsele kommun	2422		C				V					,C,,,,V,,,,	BL		Majoritet	V		Kjell Öjeryd	M		V		Maria Broberg	K		M	C		KD		V					M,C,,KD,,V,,,,	BL
Dorotea kommun	2425		C	L	KD	S	V					,C,L,KD,S,V,,,,	BL		Majoritet	L		Nicke Grahn	M		S		Christer Eriksson	M	Ordförande i KS är Nicke Grahn, L Vice ordförande i KS är Greger Lindqvist, S Greger Lindqvist är ordförande i kommunstyrelsens arbetsutskott och kommer från och med 2019 (i den nya politiska organisationen) vara ordförande i allmänna utskottet. De delar på kommunalrådsposten som är en heltid. Nicke Grahn 20% av heltid. Greger Lindqvist 80% av heltid.									ÖP	Dorotea kommunlista styrde i minoritet	,,,,,,,,ÖP,	Ö
Vännäs kommun	2460	M				S	V					M,,,,S,V,,,,	BL	MP lämnar styret under mandatperioden	Majoritet	S		Anna Frej	K		S		Lena Carneland	K						S	V	MP				,,,,S,V,MP,,,	V
Vilhelmina kommun	2462		C			S						,C,,,S,,,,,	BL	M, C, KD, Fi och det lokala Politiskt Alternativ tog makten 2018. Det höll fram till februari i 2020 då koalitionen upplöstes efter att M och Politiskt Alternativ hoppat av.	Majoritet	C		Annika Andersson	K		C		Marita Stinnerbom	K						S	V					,,,,S,V,,,,	V
Åsele kommun	2463					S				ÖP	Åselepartiet	,,,,S,,,,ÖP,	V		Majoritet	S		Andreas From	M		ÖP	Åselepartiet	Anders Westman	M			C							ÖP	Åselepartiet	,C,,,,,,,ÖP,	B
Umeå kommun	2480					S						,,,,S,,,,,	V		Minoritet	S		Hans Lindberg	M		S		Marie-Louise Rönnmark	K						S		MP				,,,,S,,MP,,,	V
Lycksele kommun	2481	M	C	L	KD							M,C,L,KD,,,,,,	B		Majoritet	M/KD	Alternerar	Christer Rönnlund och Roland Sjögren	M		M		Christer Hedlund	M						S	V					,,,,S,V,,,,	V
Skellefteå kommun	2482					S	V					,,,,S,V,,,,	V		Majoritet	S		Lorents Burman	M		S		Tomas Marklund	M						S						,,,,S,,,,,	V
Arvidsjaurs kommun	2505					S	V					,,,,S,V,,,,	V		Majoritet	S		Sara Lundberg	K		S		Peter Rydfjäll	M						S	V					,,,,S,V,,,,	V
Arjeplogs kommun	2506					S						,,,,S,,,,,	V		Minoritet	S		Isak Utsi	M		S		Mats Abrahamsson	M						S						,,,,S,,,,,	V
Jokkmokks kommun	2510					S	V					,,,,S,V,,,,	V		Minoritet	S		Robert Bernhardsson	M		ÖP	Framtid i Jokkmokk	Tommy Isaksson Rensfeldt	M												,,,,,,,,,	V
Överkalix kommun	2513					S						,,,,S,,,,,	V		Majoritet	S		Anne Jakobsson	K		S		Kristina Åhl	K		M	C				V	MP				M,C,,,,V,MP,,,	BL
Kalix kommun	2514					S	V	MP				,,,,S,V,MP,,,	V		Majoritet	S		Tommy Nilsson	M		S		Susanne Andersson	K						S	V	MP				,,,,S,V,MP,,,	V
Övertorneå kommun	2518		C		KD		V			ÖP	Övertorneå Fria alternativ	,C,,KD,,V,,,ÖP,	BL	C, , KD, V, Övertorneå fria alternativ och Sjukvårdspartiet tar makten vid valet 2018. Sjukvårdspartiet lämnar styret under mandatperioden.	Minoritet	C		Tomas Mörtberg	M		ÖP	Sjukvårdspartiet	Tomas Vedestig	M		M	C		KD					ÖP	Sjukvårdspartiet, Övertorneå Fria alternativ	M,C,,KD,,,,,ÖP,	B
Pajala kommun	2521				KD	S				ÖP	sjukvårdspartiet	,,,KD,S,,,,ÖP,	BL		Majoritet	S		Ulrica Hammarström	K		KD		Stig Töyrä	M	Stig Töyrä (KD) är ordföranden i Kommunfullmäktige det två första åren. Sen är det Birgitta Rantatalo (S) dom två sista åren av mandatperioden.					S	V					,,,,S,V,,,,	V
Gällivare kommun	2523					S	V	MP				,,,,S,V,MP,,,	V		Majoritet	V/MP/S	Alternerar	Jeanette Wäppling, Henrik Ölvebo, Birgitta Larsson	M/K		S		Lena LIndberg	K	Kommunstyrelsens ordförande 2019 är Jeanette Wäppling V, 2020 Henrik Ölvebo MP, 2021-2022 Birgitta Larsson, S.	M					V	MP		ÖP	Malmfältens Väl, Sjukvårdspartiet	M,,,,,V,MP,,ÖP,	BL
Älvsbyns kommun	2560					S						,,,,S,,,,,	V		Minoritet	S		Tomas Egmark	M		S		Thor Viklund	M						S	V					,,,,S,V,,,,	V
Luleå kommun	2580					S						,,,,S,,,,,	V		Minoritet	S		Carina Sammeli	K		M		Nihad Zara	M	S+M har en valteknisk samverkan					S						,,,,S,,,,,	V
Piteå kommun	2581					S	V	MP				,,,,S,V,MP,,,	V		Majoritet	S		Helena Stenberg	K		S		Stefan Askenryd	M						S	V	MP				,,,,S,V,MP,,,	V
Bodens kommun	2582		C			S		MP		ÖP	Sjukvårdspartiet (SJVP)	,C,,,S,,MP,,ÖP,	BL		Majoritet	S		Claes Nordmark	M		S		Eivy Blomdahl	K				L	KD	S		MP		ÖP	Norrbottens sjukvårdsparti (NS - nu heter de Sjukvårdspartiet, SJVP)	,,L,KD,S,,MP,,ÖP,	BL
Haparanda stad	2583	M	C		KD					ÖP	Sjukvårdspartiet	M,C,,KD,,,,,ÖP,	B		Majoritet	C		Sven Tornberg	M		C		Bertil Segerlund	M						S	V					,,,,S,V,,,,	V
Kiruna kommun	2584	M	C		KD					ÖP	Sjukvårdspartiet	M,C,,KD,,,,,ÖP,	B		Majoritet	C		Gunnar Selberg	M		C		Mattias Timander	M		M				S	V			ÖP	Samelistan, Feministiskt initiativ	M,,,,S,V,,,ÖP,	BL
		158	200	150	153	147	62	69	7	45		Borgerlig	128	441	M	84	297	Antal kvinnor	96		80	276	Antal kvinnor	99		120	144	112	106	182	90	124	0	50			
		545	690	517	528	507	214	238	24	155		Vänster	38	131	C	54	191	Antal män	192		48	166	Antal män	191		414	497	386	366	628	310	428	0	172			
												Blocköverskridande	117	403	L	5	18	Andel kvinnor	333		11	38	Andel kvinnor	341													
												Övrigt	7	24	KD	4	14	Andel män	667		14	48	Andel män	659													
												Summa	290		S	125	442	Delat	2		119	410															
															V	3	11	VAKANT	0		1	3															
															MP	0	0				2	7															
															SD	4	14				3	10															
															ÖP	4	14				12	41															
													Maj		171	283	Totalt				290																
													Min		119																						
													Andel min		410	0	Vakanta																				
																	7	Delad KSO-post (alternerar)																			